provinceName,currentConfirmedCount,confirmedCount,curedCount,deadCount,lastUpdate,date
海南省,19,19,0,0,2020-01-25 20:08:11.787,2020-01-25 00:00:00.000
宁夏回族自治区,3,3,0,0,2020-01-25 12:47:30.511,2020-01-25 00:00:00.000
新疆维吾尔自治区,3,3,0,0,2020-01-25 11:32:44.877,2020-01-25 00:00:00.000
青海省,1,1,0,0,2020-01-25 17:48:41.638,2020-01-25 00:00:00.000
陕西省,22,22,0,0,2020-01-26 12:29:44.894,2020-01-26 00:00:00.000
福建省,35,35,0,0,2020-01-26 19:33:21.592,2020-01-26 00:00:00.000
山东省,46,46,0,0,2020-01-26 13:55:39.256,2020-01-26 00:00:00.000
内蒙古自治区,7,7,0,0,2020-01-26 08:40:07.920,2020-01-26 00:00:00.000
台湾,4,4,0,0,2020-01-26 20:48:13.469,2020-01-26 00:00:00.000
上海市,38,40,1,1,2020-01-26 11:22:01.594,2020-01-26 00:00:00.000
北京市,66,68,2,0,2020-01-26 23:05:33.256,2020-01-26 00:00:00.000
广东省,109,111,2,0,2020-01-26 18:26:35.233,2020-01-26 00:00:00.000
天津市,14,14,0,0,2020-01-26 20:00:40.445,2020-01-26 00:00:00.000
辽宁省,21,21,0,0,2020-01-26 16:50:30.404,2020-01-26 00:00:00.000
黑龙江省,14,15,0,1,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
澳门,5,5,0,0,2020-01-26 12:49:57.080,2020-01-26 00:00:00.000
山西省,9,9,0,0,2020-01-26 08:40:07.920,2020-01-26 00:00:00.000
内蒙古自治区,7,7,0,0,2020-01-26 08:40:07.920,2020-01-26 00:00:00.000
江苏省,32,33,1,0,2020-01-26 16:45:26.835,2020-01-26 00:00:00.000
湖北省,964,1058,42,52,2020-01-26 13:50:35.848,2020-01-26 00:00:00.000
河北省,12,13,0,1,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
云南省,16,16,0,0,2020-01-26 21:23:40.048,2020-01-26 00:00:00.000
浙江省,103,104,1,0,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
安徽省,60,60,0,0,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
四川省,44,44,0,0,2020-01-26 11:49:20.095,2020-01-26 00:00:00.000
重庆市,75,75,0,0,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
贵州省,5,5,0,0,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
湖南省,69,69,0,0,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
甘肃省,7,7,0,0,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
河南省,82,83,0,1,2020-01-26 10:21:00.382,2020-01-26 00:00:00.000
江西省,36,36,0,0,2020-01-26 08:40:07.920,2020-01-26 00:00:00.000
广西壮族自治区,36,36,0,0,2020-01-26 18:03:18.201,2020-01-26 00:00:00.000
海南省,22,22,0,0,2020-01-26 11:22:01.594,2020-01-26 00:00:00.000
宁夏回族自治区,4,4,0,0,2020-01-26 10:52:18.350,2020-01-26 00:00:00.000
新疆维吾尔自治区,4,4,0,0,2020-01-26 09:53:44.753,2020-01-26 00:00:00.000
美国,5,5,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
法国,3,3,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
加拿大,1,1,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
新加坡,4,4,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
日本,3,4,1,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
马来西亚,3,3,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
韩国,4,4,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
澳大利亚,5,5,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
尼泊尔,1,1,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
泰国,5,7,2,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
陕西省,35,35,0,0,2020-01-27 12:15:46.003,2020-01-27 00:00:00.000
福建省,59,59,0,0,2020-01-27 23:49:22.549,2020-01-27 00:00:00.000
山东省,74,75,1,0,2020-01-27 16:55:04.348,2020-01-27 00:00:00.000
吉林省,6,6,0,0,2020-01-27 09:13:04.502,2020-01-27 00:00:00.000
内蒙古自治区,11,11,0,0,2020-01-27 09:48:23.835,2020-01-27 00:00:00.000
越南,2,2,0,0,2020-01-27 17:20:43.214,2020-01-27 00:00:00.000
柬埔寨,1,1,0,0,2020-01-27 21:02:38.282,2020-01-27 00:00:00.000
香港,8,8,0,0,2020-01-27 00:11:16.845,2020-01-27 00:00:00.000
台湾,5,5,0,0,2020-01-27 14:58:10.622,2020-01-27 00:00:00.000
上海市,49,53,3,1,2020-01-27 15:56:40.534,2020-01-27 00:00:00.000
北京市,77,80,2,1,2020-01-27 23:57:26.895,2020-01-27 00:00:00.000
广东省,148,151,3,0,2020-01-27 21:01:37.693,2020-01-27 00:00:00.000
天津市,22,22,0,0,2020-01-27 20:41:30.257,2020-01-27 00:00:00.000
辽宁省,27,27,0,0,2020-01-27 18:23:43.019,2020-01-27 00:00:00.000
黑龙江省,20,21,0,1,2020-01-27 09:10:03.105,2020-01-27 00:00:00.000
澳门,6,6,0,0,2020-01-27 06:54:53.856,2020-01-27 00:00:00.000
山西省,13,13,0,0,2020-01-27 06:54:53.856,2020-01-27 00:00:00.000
内蒙古自治区,11,11,0,0,2020-01-27 09:48:23.835,2020-01-27 00:00:00.000
江苏省,46,47,1,0,2020-01-27 09:10:03.105,2020-01-27 00:00:00.000
湖北省,1300,1423,47,76,2020-01-27 16:42:57.343,2020-01-27 00:00:00.000
河北省,17,18,0,1,2020-01-27 09:36:17.221,2020-01-27 00:00:00.000
云南省,26,26,0,0,2020-01-27 18:35:50.309,2020-01-27 00:00:00.000
浙江省,127,128,1,0,2020-01-27 09:03:59.585,2020-01-27 00:00:00.000
安徽省,70,70,0,0,2020-01-27 08:47:51.117,2020-01-27 00:00:00.000
四川省,69,69,0,0,2020-01-27 09:44:21.751,2020-01-27 00:00:00.000
重庆市,110,110,0,0,2020-01-27 09:20:08.658,2020-01-27 00:00:00.000
贵州省,7,7,0,0,2020-01-27 09:00:57.934,2020-01-27 00:00:00.000
